Wavelength,OD,OD,OD,OD,OD,OD,OD,OD,OD,OD
nm,result_Lumilog_STINS_GaN_on_Sapphire,result_InN_InSaN_10nm_barrier_J130828_1_Messy_16,result_InN_InSaN_3nm_barrier_J140228_Messy_12,result_InN_InGaN_10nm_barrier_Sapphire_edge_J130828,result_InN_InGaN_3nm_barrier_Sapphire_edge_J140228,result_B120504_InGaN_T=1.04um,result_B111205_InN_center,result_B111205_InN(1.4um)_STINS_edge,result_B111205_InN(1.4um)_STINS_center,result_B111205_InN(1.4um)_Sapphire_edge
1196.795,0.324735984,0.79692956,1.297673628,0.784367254,1.270258158,1.36876279,3.069779748,2.762257402,3.686841374,2.256426796
1198.806,0.332277278,0.778119197,1.292001333,0.764709147,1.242877492,1.334529899,3.038210644,2.738719368,3.361903723,2.183031381
1200.817,0.334078171,0.77451576,1.270777266,0.762300556,1.235002114,1.326198291,3.038636256,2.7885638,3.166038459,2.184609863
1202.827,0.342523207,0.753117123,1.274053652,0.743361044,1.208061412,1.300304984,3.067433598,2.738241876,3.115821818,2.157851436
1204.837,0.343975945,0.748614846,1.249253668,0.739727254,1.207283805,1.303208886,3.58905459,2.755852713,3.421691806,2.208995564
1206.846,0.351875562,0.729358648,1.233614971,0.724988143,1.182183895,1.274383647,3.205573782,2.728997016,3.183297387,2.143616824
1208.855,0.353299603,0.725970742,1.20882742,0.723611419,1.171261523,1.262867649,2.852011629,2.697245614,2.858114228,2.078259192
1210.863,0.360273336,0.705621516,1.204443971,0.712573329,1.145710488,1.233598421,2.772384127,2.640054044,2.795799239,2.041881216
1212.871,0.361043266,0.69985133,1.182801645,0.708469108,1.141529048,1.229328695,2.895115415,2.61860227,2.825135534,2.057246606
1214.878,0.366904919,0.686594723,1.175308504,0.701597425,1.116513792,1.203027098,2.922858352,2.665033212,2.804196229,2.032522021
1216.885,0.367902961,0.684183976,1.150855435,0.701090164,1.112338666,1.197267634,2.910932481,2.661776076,2.785998292,2.018683987
1218.891,0.372426153,0.673234493,1.149932344,0.698565112,1.08635606,1.170954934,2.812652116,2.690077661,2.843047871,1.986809757
1220.897,0.372770805,0.670849637,1.132269324,0.698052633,1.086357445,1.168685054,2.946170929,2.616778003,3.049661884,2.012520076
1222.902,0.375053265,0.66431861,1.126737064,0.695916586,1.061742274,1.142736473,3.143357454,2.639575951,3.247953886,1.991346022
1224.907,0.375297259,0.664911766,1.102378486,0.697222009,1.054233359,1.136162767,2.990535979,2.593729928,3.144802909,1.966428727
